camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image,stem_height,stem_angle,stem_length
SV,VIS,z1,e65,g0,0,h1,2016-06-28-07-13-19,211952,Fa022AC031841,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_211952_2016-06-28-07-13-19_Fa022AC031841.png/VIS_SV_0_z1_h1_g0_e65_v500_211952_2016-06-28-07-13-19_Fa022AC031841.png,324,2.7496423721313477,422.96810191869736
SV,VIS,z1,e65,g0,0,h1,2016-06-23-07-13-24,186212,Fa022AC031841,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_186212_2016-06-23-07-13-24_Fa022AC031841.png/VIS_SV_0_z1_h1_g0_e65_v500_186212_2016-06-23-07-13-24_Fa022AC031841.png,NA,NA,NA
SV,VIS,z1,e65,g0,0,h1,2016-06-28-09-24-24,213224,Fa016AC031865,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_213224_2016-06-28-09-24-24_Fa016AC031865.png/VIS_SV_0_z1_h1_g0_e65_v500_213224_2016-06-28-09-24-24_Fa016AC031865.png,415,25.717105865478516,543.7577105760574
SV,VIS,z1,e65,g0,0,h1,2016-06-28-07-51-47,212321,Fa016AC031835,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_212321_2016-06-28-07-51-47_Fa016AC031835.png/VIS_SV_0_z1_h1_g0_e65_v500_212321_2016-06-28-07-51-47_Fa016AC031835.png,NA,NA,NA
SV,VIS,z1,e65,g0,0,h1,2016-06-28-07-24-30,212060,Fa022AC031901,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_212060_2016-06-28-07-24-30_Fa022AC031901.png/VIS_SV_0_z1_h1_g0_e65_v500_212060_2016-06-28-07-24-30_Fa022AC031901.png,282,169.89515686035156,425.2635161280632
SV,VIS,z1,e65,g0,0,h1,2016-06-28-07-49-18,212300,Fa016AC031895,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_212300_2016-06-28-07-49-18_Fa016AC031895.png/VIS_SV_0_z1_h1_g0_e65_v500_212300_2016-06-28-07-49-18_Fa016AC031895.png,478,-10.066067695617676,656.1121615171432
SV,VIS,z1,e65,g0,0,h1,2016-06-28-09-29-21,213269,Fa022AC031871,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_213269_2016-06-28-09-29-21_Fa022AC031871.png/VIS_SV_0_z1_h1_g0_e65_v500_213269_2016-06-28-09-29-21_Fa022AC031871.png,240,-5.851681709289551,371.5189524292946
SV,VIS,z1,e65,g0,0,h1,2016-06-28-16-49-56,214070,Fa016AC031715,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_214070_2016-06-28-16-49-56_Fa016AC031715.png/VIS_SV_0_z1_h1_g0_e65_v500_214070_2016-06-28-16-49-56_Fa016AC031715.png,NA,NA,NA
SV,VIS,z1,e65,g0,0,h1,2016-06-28-16-51-48,214085,Fa022AC031661,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_214085_2016-06-28-16-51-48_Fa022AC031661.png/VIS_SV_0_z1_h1_g0_e65_v500_214085_2016-06-28-16-51-48_Fa022AC031661.png,530,-11.285600662231445,665.5113391280174
SV,VIS,z1,e65,g0,0,h1,2016-06-28-16-52-26,214094,Fa016AC031655,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_214094_2016-06-28-16-52-26_Fa016AC031655.png/VIS_SV_0_z1_h1_g0_e65_v500_214094_2016-06-28-16-52-26_Fa016AC031655.png,453,-3.1323370933532715,732.4311983585358
